timestamp,x,y
1746584465.163,36.9438,-12.0447
1746584465.172,36.9194,-12.0382
1746584465.182,36.8950,-12.0317
1746584465.193,36.8705,-12.0251
1746584465.202,36.8461,-12.0186
1746584465.213,36.8216,-12.0120
1746584465.223,36.7972,-12.0053
1746584465.233,36.7727,-11.9986
1746584465.242,36.7482,-11.9919
1746584465.252,36.7237,-11.9851
1746584465.262,36.6992,-11.9783
1746584465.272,36.6746,-11.9714
1746584465.282,36.6501,-11.9646
1746584465.292,36.6255,-11.9576
1746584465.302,36.6010,-11.9507
1746584465.312,36.5764,-11.9437
1746584465.322,36.5519,-11.9366
1746584465.332,36.5273,-11.9295
1746584465.342,36.5028,-11.9224
1746584465.352,36.4783,-11.9152
1746584465.362,36.4538,-11.9079
1746584465.372,36.4292,-11.9005
1746584465.382,36.4047,-11.8931
1746584465.392,36.3802,-11.8856
1746584465.402,36.3557,-11.8781
1746584465.412,36.3312,-11.8705
1746584465.422,36.3066,-11.8629
1746584465.432,36.2820,-11.8552
1746584465.442,36.2575,-11.8475
1746584465.452,36.2329,-11.8398
1746584465.462,36.2083,-11.8320
1746584465.472,36.1837,-11.8243
1746584465.483,36.1590,-11.8165
1746584465.492,36.1344,-11.8087
1746584465.502,36.1098,-11.8008
1746584465.512,36.0852,-11.7929
1746584465.522,36.0605,-11.7849
1746584465.532,36.0359,-11.7770
1746584465.542,36.0113,-11.7689
1746584465.552,35.9866,-11.7609
1746584465.562,35.9620,-11.7528
1746584465.572,35.9374,-11.7447
1746584465.582,35.9127,-11.7365
1746584465.592,35.8881,-11.7283
1746584465.602,35.8634,-11.7201
1746584465.612,35.8387,-11.7119
1746584465.622,35.8141,-11.7036
1746584465.632,35.7899,-11.6930
1746584465.642,35.7652,-11.6846
1746584465.652,35.7405,-11.6762
1746584465.662,35.7158,-11.6677
1746584465.672,35.6910,-11.6592
1746584465.682,35.6663,-11.6506
1746584465.692,35.6416,-11.6421
1746584465.702,35.6168,-11.6335
1746584465.712,35.5921,-11.6248
1746584465.722,35.5673,-11.6161
1746584465.732,35.5425,-11.6074
1746584465.742,35.5178,-11.5987
1746584465.752,35.4930,-11.5899
1746584465.762,35.4682,-11.5811
1746584465.772,35.4434,-11.5722
1746584465.782,35.4186,-11.5633
1746584465.792,35.3938,-11.5544
1746584465.802,35.3689,-11.5455
1746584465.812,35.3441,-11.5365
1746584465.822,35.3192,-11.5275
1746584465.832,35.2944,-11.5185
1746584465.842,35.2695,-11.5094
1746584465.852,35.2446,-11.5004
1746584465.862,35.2197,-11.4913
1746584465.872,35.1949,-11.4822
1746584465.882,35.1700,-11.4731
1746584465.892,35.1451,-11.4640
1746584465.902,35.1203,-11.4548
1746584465.912,35.0954,-11.4456
1746584465.922,35.0706,-11.4364
1746584465.932,35.0457,-11.4272
1746584465.942,35.0209,-11.4179
1746584465.952,34.9960,-11.4087
1746584465.962,34.9712,-11.3994
1746584465.972,34.9463,-11.3901
1746584465.982,34.9215,-11.3807
1746584465.992,34.8966,-11.3714
1746584466.002,34.8718,-11.3620
1746584466.012,34.8469,-11.3527
1746584466.022,34.8220,-11.3433
1746584466.032,34.7971,-11.3339
1746584466.042,34.7722,-11.3244
1746584466.052,34.7473,-11.3150
1746584466.061,34.7224,-11.3055
1746584466.072,34.6974,-11.2961
1746584466.082,34.6725,-11.2866
1746584466.092,34.6476,-11.2771
1746584466.102,34.6226,-11.2677
1746584466.112,34.5977,-11.2582
1746584466.122,34.5727,-11.2487
1746584466.132,34.5478,-11.2392
1746584466.142,34.5228,-11.2298
1746584466.152,34.4999,-11.2173
1746584466.162,34.4750,-11.2078
1746584466.172,34.4501,-11.1982
1746584466.182,34.4251,-11.1887
1746584466.192,34.4002,-11.1792
1746584466.202,34.3752,-11.1697
1746584466.212,34.3503,-11.1601
1746584466.222,34.3254,-11.1506
1746584466.232,34.3004,-11.1410
1746584466.242,34.2755,-11.1315
1746584466.252,34.2506,-11.1219
1746584466.262,34.2257,-11.1123
1746584466.272,34.2007,-11.1027
1746584466.282,34.1758,-11.0932
1746584466.292,34.1509,-11.0836
1746584466.302,34.1260,-11.0741
1746584466.312,34.1010,-11.0646
1746584466.322,34.0761,-11.0551
1746584466.332,34.0511,-11.0456
1746584466.341,34.0261,-11.0362
1746584466.352,34.0011,-11.0267
1746584466.362,33.9761,-11.0174
1746584466.372,33.9510,-11.0080
1746584466.382,33.9260,-10.9987
1746584466.392,33.9009,-10.9894
1746584466.402,33.8759,-10.9801
1746584466.411,33.8508,-10.9708
1746584466.421,33.8257,-10.9615
1746584466.431,33.8006,-10.9523
1746584466.442,33.7756,-10.9431
1746584466.452,33.7505,-10.9339
1746584466.462,33.7254,-10.9247
1746584466.472,33.7003,-10.9155
1746584466.482,33.6752,-10.9064
1746584466.492,33.6500,-10.8973
1746584466.502,33.6249,-10.8882
1746584466.511,33.5997,-10.8791
1746584466.522,33.5745,-10.8701
1746584466.532,33.5493,-10.8611
1746584466.542,33.5241,-10.8521
1746584466.552,33.4989,-10.8432
1746584466.562,33.4736,-10.8343
1746584466.572,33.4483,-10.8254
1746584466.582,33.4231,-10.8165
1746584466.591,33.3978,-10.8077
1746584466.601,33.3725,-10.7988
1746584466.612,33.3472,-10.7900
1746584466.622,33.3219,-10.7813
1746584466.632,33.2905,-10.7775
1746584466.642,33.2651,-10.7688
1746584466.652,33.2396,-10.7602
1746584466.662,33.2141,-10.7515
1746584466.672,33.1886,-10.7429
1746584466.682,33.1631,-10.7343
1746584466.691,33.1376,-10.7258
1746584466.702,33.1120,-10.7172
1746584466.712,33.0865,-10.7087
1746584466.722,33.0609,-10.7002
1746584466.732,33.0352,-10.6918
1746584466.742,33.0096,-10.6833
1746584466.752,32.9840,-10.6749
1746584466.762,32.9583,-10.6665
1746584466.771,32.9326,-10.6581
1746584466.782,32.9070,-10.6498
1746584466.792,32.8813,-10.6414
1746584466.802,32.8556,-10.6331
1746584466.812,32.8299,-10.6248
1746584466.822,32.8042,-10.6165
1746584466.832,32.7785,-10.6082
1746584466.842,32.7527,-10.6000
1746584466.852,32.7270,-10.5918
1746584466.862,32.7012,-10.5835
1746584466.871,32.6754,-10.5753
1746584466.881,32.6496,-10.5671
1746584466.892,32.6237,-10.5589
1746584466.902,32.5979,-10.5508
1746584466.912,32.5720,-10.5426
1746584466.922,32.5460,-10.5345
1746584466.932,32.5201,-10.5264
1746584466.941,32.4941,-10.5184
1746584466.951,32.4682,-10.5104
1746584466.961,32.4422,-10.5024
1746584466.971,32.4162,-10.4945
1746584466.982,32.3901,-10.4866
1746584466.992,32.3641,-10.4787
1746584467.002,32.3380,-10.4708
1746584467.012,32.3119,-10.4629
1746584467.022,32.2858,-10.4551
1746584467.032,32.2597,-10.4473
1746584467.042,32.2335,-10.4395
1746584467.052,32.2073,-10.4317
1746584467.062,32.1811,-10.4239
1746584467.072,32.1549,-10.4161
1746584467.082,32.1286,-10.4084
1746584467.092,32.1023,-10.4007
1746584467.102,32.0761,-10.3930
1746584467.112,32.0497,-10.3854
1746584467.122,32.0234,-10.3778
1746584467.132,31.9971,-10.3702
1746584467.142,31.9707,-10.3627
1746584467.153,31.9449,-10.3467
1746584467.162,31.9185,-10.3392
1746584467.172,31.8921,-10.3317
1746584467.182,31.8657,-10.3242
1746584467.192,31.8392,-10.3168
1746584467.202,31.8127,-10.3094
1746584467.212,31.7861,-10.3020
1746584467.222,31.7595,-10.2947
1746584467.232,31.7329,-10.2874
1746584467.242,31.7063,-10.2802
1746584467.252,31.6796,-10.2729
1746584467.262,31.6530,-10.2657
1746584467.272,31.6263,-10.2585
1746584467.283,31.5996,-10.2514
1746584467.292,31.5728,-10.2443
1746584467.302,31.5461,-10.2372
1746584467.312,31.5193,-10.2301
1746584467.322,31.4926,-10.2231
1746584467.332,31.4658,-10.2161
1746584467.342,31.4390,-10.2091
1746584467.352,31.4122,-10.2022
1746584467.362,31.3853,-10.1953
1746584467.372,31.3584,-10.1884
1746584467.382,31.3315,-10.1816
1746584467.392,31.3046,-10.1748
1746584467.402,31.2776,-10.1680
1746584467.412,31.2506,-10.1613
1746584467.422,31.2236,-10.1546
1746584467.432,31.1965,-10.1479
1746584467.442,31.1694,-10.1413
1746584467.452,31.1423,-10.1347
1746584467.462,31.1152,-10.1282
1746584467.472,31.0880,-10.1217
1746584467.482,31.0609,-10.1152
1746584467.492,31.0337,-10.1088
1746584467.502,31.0065,-10.1024
1746584467.512,30.9793,-10.0960
1746584467.522,30.9520,-10.0897
1746584467.532,30.9248,-10.0835
1746584467.542,30.8975,-10.0772
1746584467.552,30.8702,-10.0710
1746584467.562,30.8429,-10.0649
1746584467.572,30.8156,-10.0588
1746584467.582,30.7882,-10.0527
1746584467.592,30.7608,-10.0466
1746584467.602,30.7334,-10.0405
1746584467.612,30.7060,-10.0345
1746584467.622,30.6786,-10.0286
1746584467.632,30.6511,-10.0226
1746584467.642,30.6236,-10.0167
1746584467.652,30.5961,-10.0108
1746584467.663,30.5685,-10.0050
1746584467.673,30.5354,-10.0011
1746584467.682,30.5077,-9.9953
1746584467.692,30.4800,-9.9897
1746584467.702,30.4523,-9.9840
1746584467.712,30.4245,-9.9784
1746584467.722,30.3968,-9.9728
1746584467.732,30.3690,-9.9673
1746584467.742,30.3411,-9.9618
1746584467.752,30.3133,-9.9563
1746584467.762,30.2854,-9.9508
1746584467.772,30.2576,-9.9454
1746584467.782,30.2297,-9.9400
1746584467.792,30.2017,-9.9347
1746584467.802,30.1738,-9.9294
1746584467.812,30.1458,-9.9242
1746584467.822,30.1178,-9.9190
1746584467.832,30.0898,-9.9139
1746584467.842,30.0618,-9.9089
1746584467.852,30.0337,-9.9039
1746584467.862,30.0057,-9.8990
1746584467.871,29.9776,-9.8941
1746584467.882,29.9495,-9.8892
1746584467.892,29.9214,-9.8844
1746584467.903,29.8932,-9.8796
1746584467.912,29.8650,-9.8748
1746584467.922,29.8368,-9.8700
1746584467.932,29.8086,-9.8652
1746584467.942,29.7804,-9.8604
1746584467.952,29.7521,-9.8557
1746584467.962,29.7238,-9.8509
1746584467.972,29.6955,-9.8462
1746584467.982,29.6671,-9.8415
1746584467.992,29.6388,-9.8369
1746584468.002,29.6104,-9.8322
1746584468.012,29.5820,-9.8276
1746584468.022,29.5535,-9.8231
1746584468.032,29.5251,-9.8185
1746584468.042,29.4966,-9.8140
1746584468.052,29.4681,-9.8095
1746584468.062,29.4396,-9.8051
1746584468.072,29.4111,-9.8007
1746584468.083,29.3826,-9.7963
