Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,block_header.sync_1,block_header.sync_2,block_header.crc,block_header.id,block_header.revision,block_header.length,block_header.tow,block_header.wnc,gnss_mode,error,info,gnss_age,latitude,longitude,height,undulation,accuracy,latency,datum,sb_list,latitude_std_dev,longitude_std_dev,height_std_dev,latitude_longitude_cov,latitude_height_cov,longitude_height_cov,heading,pitch,roll,heading_std_dev,pitch_std_dev,roll_std_dev,heading_pitch_cov,heading_roll_cov,pitch_roll_cov,ve,vn,vu,ve_std_dev,vn_std_dev,vu_std_dev,ve_vn_cov,ve_vu_cov,vn_vu_cov
1746933773.0644345,193712,1746933773,64103461,base_link,36,64,6923,4226,0,116,12191000,2366,4,0,72,50,0.6997503869860802,-1.5399980207738972,200.74576133563775,-33.9179573059082,5,80,0,31,0.013673234730958939,0.012176484800875187,0.016979452222585678,-20000000000.0,-20000000000.0,-20000000000.0,269.15875244140625,-1.4975148439407349,-1.9762914180755615,0.5780015587806702,0.10188917070627213,0.1015796810388565,-20000000000.0,-20000000000.0,-20000000000.0,-0.3262545168399811,0.0033690473064780235,-0.002527478849515319,0.010146928019821644,0.010601225309073925,0.009790358133614063,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.0740547,193713,1746933773,73859024,base_link,36,64,8949,4226,0,116,12191010,2366,4,0,72,51,0.6997503869880212,-1.5399980214452473,200.74574196980865,-33.9179573059082,5,80,0,31,0.013934403657913208,0.012428094632923603,0.01720474287867546,-20000000000.0,-20000000000.0,-20000000000.0,269.1578369140625,-1.4983794689178467,-1.9772226810455322,0.5780299305915833,0.10204584151506424,0.10173682123422623,-20000000000.0,-20000000000.0,-20000000000.0,-0.32961535453796387,0.0013891085982322693,-0.0019831734243780375,0.010232221335172653,0.010686608962714672,0.009839477017521858,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.0839841,193714,1746933773,83723892,base_link,36,64,52224,4226,0,116,12191020,2366,4,0,72,52,0.6997503869904753,-1.5399980221236331,200.74572865888476,-33.9179573059082,5,80,0,31,0.014198098331689835,0.012682173401117325,0.017431557178497314,-20000000000.0,-20000000000.0,-20000000000.0,269.15667724609375,-1.4994641542434692,-1.9772669076919556,0.5780583620071411,0.10220226645469666,0.10189373046159744,-20000000000.0,-20000000000.0,-20000000000.0,-0.33311927318573,0.0014289176324382424,-0.0014331042766571045,0.010317443870007992,0.01077199261635542,0.009888357482850552,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.093915,193715,1746933773,93677132,base_link,36,64,63809,4226,0,116,12191030,2366,4,0,72,53,0.6997503869930084,-1.5399980228090444,200.74571125062647,-33.9179573059082,5,80,0,31,0.014464307576417923,0.012938709929585457,0.017659882083535194,-20000000000.0,-20000000000.0,-20000000000.0,269.15545654296875,-1.5002392530441284,-1.9770087003707886,0.578086793422699,0.10235845297574997,0.10205040127038956,-20000000000.0,-20000000000.0,-20000000000.0,-0.3363940119743347,0.001637675566598773,-0.0008927445160225034,0.010402513667941093,0.010857160203158855,0.009936990216374397,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.1040173,193716,1746933773,103646288,base_link,36,64,22580,4226,0,116,12191040,2366,4,0,72,54,0.699750386994691,-1.5399980235011737,200.74569446727787,-33.9179573059082,5,78,0,31,0.014733017422258854,0.01319769024848938,0.017889700829982758,-20000000000.0,-20000000000.0,-20000000000.0,269.1544494628906,-1.5009747743606567,-1.9772006273269653,0.5781152248382568,0.10251442342996597,0.10220684111118317,-20000000000.0,-20000000000.0,-20000000000.0,-0.33970433473587036,0.001259889337234199,-0.0009565925574861467,0.01048741489648819,0.010942196473479271,0.00998538825660944,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.113799,193717,1746933773,113415196,base_link,36,64,51907,4226,0,116,12191050,2366,4,0,72,55,0.6997503869973468,-1.5399980242002236,200.7456634300835,-33.9179573059082,5,78,0,31,0.015004214830696583,0.013459102250635624,0.01812100224196911,-20000000000.0,-20000000000.0,-20000000000.0,269.1531677246094,-1.5009702444076538,-1.9772721529006958,0.5781436562538147,0.10267017036676407,0.10236304253339767,-20000000000.0,-20000000000.0,-20000000000.0,-0.3431010842323303,0.002206741599366069,-0.0025984682142734528,0.010572182945907116,0.011027123779058456,0.010033555328845978,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.123886,193718,1746933773,123492752,base_link,36,64,17906,4226,0,116,12191060,2366,4,0,72,56,0.6997503869993331,-1.5399980249060892,200.74564090777898,-33.9179573059082,6,81,0,31,0.015277888625860214,0.013722935691475868,0.018353769555687904,-20000000000.0,-20000000000.0,-20000000000.0,269.1520690917969,-1.5012972354888916,-1.9774234294891357,0.5781720876693726,0.10282568633556366,0.10251902788877487,-20000000000.0,-20000000000.0,-20000000000.0,-0.34656092524528503,0.0020923404954373837,-0.002115886425599456,0.010656810365617275,0.011112007312476635,0.010081497021019459,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.1357725,193719,1746933773,133455635,base_link,36,64,18590,4226,0,116,12191070,2366,4,0,72,57,0.6997503870013209,-1.5399980256188603,200.74561491070995,-33.9179573059082,6,81,0,31,0.015554029494524002,0.013989178463816643,0.0185879897326231,-20000000000.0,-20000000000.0,-20000000000.0,269.1509094238281,-1.5014259815216064,-1.9775856733322144,0.5782005190849304,0.10298097133636475,0.10267478227615356,-20000000000.0,-20000000000.0,-20000000000.0,-0.3497399687767029,0.00031841479358263314,-0.0022843072656542063,0.010741288773715496,0.011196655221283436,0.010129204951226711,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.144338,193720,1746933773,144024250,base_link,36,64,33406,4226,0,116,12191080,2366,4,0,72,58,0.6997503870056111,-1.5399980263381021,200.74559526941732,-33.9179573059082,6,81,0,31,0.015832623466849327,0.014257819391787052,0.01882364973425865,-20000000000.0,-20000000000.0,-20000000000.0,269.1489562988281,-1.5018815994262695,-1.977715253829956,0.5782290101051331,0.10313604027032852,0.10283030569553375,-20000000000.0,-20000000000.0,-20000000000.0,-0.3529149293899536,0.002316519385203719,-0.0010192458285018802,0.01082560047507286,0.011281161569058895,0.01017669029533863,-20000000000.0,-20000000000.0,-20000000000.0
1746933773.1541939,193721,1746933773,153817491,base_link,36,64,51115,4226,0,116,12191090,2366,4,0,72,59,0.6997503870078287,-1.5399980270637346,200.74558751912036,-33.9179573059082,6,80,0,31,0.016113661229610443,0.0145288510248065,0.019060738384723663,-20000000000.0,-20000000000.0,-20000000000.0,269.1476135253906,-1.5028862953186035,-1.9781473875045776,0.5782575011253357,0.10329089313745499,0.10298562794923782,-20000000000.0,-20000000000.0,-20000000000.0,-0.3560798466205597,0.0022747113835066557,0.00034251349279657006,0.0109098544344306,0.011365646496415138,0.010223958641290665,-20000000000.0,-20000000000.0,-20000000000.0
